movieID,genreID
1,10
1,1
1,3
1,9
1,2
2,10
2,3
2,2
3,9
3,15
4,9
4,14
4,15
5,9
6,13
6,19
6,11
7,9
7,15
8,10
8,3
9,13
10,13
10,10
10,11
11,9
11,14
11,15
12,9
12,8
13,10
13,1
13,3
14,14
15,13
15,10
15,15
16,19
16,14
17,14
17,15
18,9
19,9
20,13
20,9
20,19
20,14
20,11
21,9
21,19
21,11
22,19
22,14
22,8
22,5
22,11
23,13
23,19
23,11
24,14
24,20
25,14
25,15
26,14
27,3
27,14
28,14
28,15
29,10
29,14
29,2
29,5
29,20
30,19
30,14
31,14
32,5
32,20
32,11
34,3
34,14
36,19
36,14
38,3
38,9
39,9
39,15
40,14
41,14
41,18
42,13
42,19
42,14
43,14
44,13
44,10
44,2
45,9
45,14
45,11
46,14
46,15
47,5
47,11
48,1
48,3
48,14
48,17
48,15
49,14
49,15
50,19
50,5
50,11
52,9
52,14
52,15
53,10
53,14
54,3
54,9
55,14
57,14
58,9
58,14
58,15
60,10
60,3
60,2
61,14
61,11
62,14
63,9
63,19
64,9
64,15
65,9
66,13
66,20
66,11
68,9
68,15
69,9
70,13
70,9
70,8
70,11
71,13
72,9
72,14
73,14
73,18
74,14
74,15
75,9
75,14
76,13
76,20
76,11
77,4
78,13
78,19
78,14
78,11
79,14
79,11
80,3
80,14
81,19
81,14
81,15
82,9
82,14
83,14
83,15
85,14
85,15
86,13
86,10
86,14
87,3
87,9
88,9
89,13
89,11
92,14
92,8
92,11
93,9
93,8
93,15
94,9
94,14
94,15
95,13
95,10
95,11
96,9
96,14
97,19
97,14
99,4
100,14
100,11
101,10
101,9
101,19
101,15
102,9
103,5
103,20
103,11
104,9
105,14
105,15
106,9
106,14
107,10
107,3
107,9
107,17
108,4
110,13
110,14
110,18
111,19
111,14
111,11
112,13
112,10
112,9
112,19
113,14
113,5
116,4
117,19
117,14
118,9
118,15
119,9
121,14
122,9
122,15
123,14
123,5
123,15
125,9
126,10
126,3
126,2
128,4
129,9
129,15
132,11
135,9
137,4
140,14
140,15
141,9
144,9
145,13
145,9
145,19
145,14
145,11
146,10
146,3
147,14
148,14
149,19
149,14
149,11
150,10
150,14
150,6
151,13
151,14
151,15
151,18
152,14
152,8
153,13
153,10
153,9
153,19
154,14
155,10
155,14
155,18
156,9
156,14
157,9
