movieID,countryID
4470,FI
18,US
479,US
260,US
6377,US
356,US
2858,US
923,US
3910,IS
3910,IT
3910,DE
3910,FI
3910,NL
3910,NO
3910,DK
3910,AR
3910,SE
3910,GB
3910,US
3910,FR
1527,FR
1527,US
2010,DE
6770,CA
6770,ES
3653,US
6539,US
6874,US
40278,GB
40278,US
1208,US
1266,US
54272,US
7361,US
4235,MX
45722,US
37733,DE
37733,US
37733,CA
924,GB
924,US
32,US
5878,ES
5878,US
5810,DE
5810,US
1459,US
41527,DE
41527,NL
41527,PS
41527,FR
1199,US
1199,GB
40819,US
40819,DE
30707,US
30707,CH
3967,US
3967,FR
3967,GB
2329,US
34048,US
1391,US
215,US
215,AT
215,CH
4226,US
541,US
541,GB
541,HK
7090,CN
8638,FR
8638,US
7099,JP
47044,DE
47044,US
47044,UY
47044,PY
27822,US
1198,US
2115,US
1088,US
1291,US
4085,US
3801,US
1917,US
4084,US
2105,US
3578,GB
3578,US
3083,ES
3083,FR
2542,US
2542,GB
293,US
293,FR
6192,DK
111,US
2692,DE
1270,US
3527,US
3527,MX
4011,US
4011,GB
307,PL
307,FR
307,CH
308,PL
308,FR
306,CH
306,PL
306,FR
4262,US
5051,SE
5051,DK
8014,DE
8014,KR
597,US
1732,GB
1732,US
41285,US
41285,GB
41285,LU
41285,FR
41285,IE
2194,US
30793,GB
30793,US
4993,NZ
4993,US
5952,US
5952,NZ
7153,NZ
7153,US
2116,US
2116,ES
2116,GB
3000,JP
5618,JP
4027,US
4027,GB
4027,FR
8507,US
1265,US
2644,US
8973,US
8973,ES
4878,US
39183,CA
39183,US
1927,US
1211,FR
1211,DE
1354,SE
1354,GB
1354,DK
1354,NL
1354,IS
1354,FR
1354,NO
1354,ES
3996,CN
3996,HK
3996,TW
3996,US
2731,FR
47202,IE
47202,ES
1274,JP
5049,US
1371,US
6711,GB
6711,JP
6711,US
1374,US
58559,GB
58559,US
7352,SE
7352,GB
7352,DK
7352,FR
1375,US
32460,DE
4963,US
2291,US
8984,US
902,US
2011,US
4828,FR
4874,GB
4874,DE
4874,US
1376,US
3697,US
6502,GB
5929,FR
1373,US
1019,US
1372,US
1216,US
1216,IT
1216,FR
8957,US
3108,US
423,US
27821,GB
27821,FR
27821,US
27821,DE
5445,US
50064,US
4683,US
1729,US
1206,GB
1206,US
44665,US
44665,GB
44665,DE
44665,CA
32587,US
113573,US
2467,FR
2467,DE
2467,IT
329,US
4973,DE
4973,FR
3739,US
2012,US
110,US
946,US
1356,US
2393,US
5944,US
8042,US
7700,IT
7700,FR
30749,US
30749,IT
30749,GB
30749,ZA
1246,US
1269,US
908,US
48877,US
39446,US
6509,DE
59615,US
1240,GB
1240,US
44694,ES
44694,US
949,US
1103,US
928,US
2908,US
2114,US
4970,DE
1340,US
40583,US
6987,DE
1259,US
342,FR
342,AU
858,US
910,US
1221,US
288,US
2023,US
3481,US
3481,GB
2366,US
5377,US
5377,GB
5377,FR
5377,DE
8370,JP
8370,FR
2726,US
4804,US
4681,US
8117,DK
587,US
1073,US
2991,GB
41569,DE
41569,US
41569,NZ
37736,FR
37736,GB
37736,IT
37736,CZ
965,GB
971,US
6001,US
1572,FR
1572,IT
1844,ES
1844,FR
592,US
4914,FR
33794,GB
33794,US
593,US
608,GB
608,US
33903,AT
33903,DE
6754,HU
6754,DE
6754,US
6754,GB
318,US
1225,US
589,US
589,FR
198,US
909,US
53125,US
3361,US
1283,US
912,US
6440,US
6440,GB
27882,FR
27882,US
43708,US
3100,US
7615,US
6537,DE
6537,US
6537,GB
2340,US
53322,US
4954,US
48082,FR
48082,IT
4329,US
6538,GB
6538,FR
930,US
420,US
5304,IT
34437,US
34437,FR
2360,SE
2360,DK
6373,US
1227,IT
